品牌,型号,颜色,价格,CPU,内存,电池容量,操作系统,摄影,好评率
华为,华为T8950N（移动版）,机身颜色黑色，白色  ,669,CPU型号联发科 MT6517,1GB 4GB ,1930mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：30万像素传感器类型CMOS闪光灯LED补光灯（双）,7.6星
华为,华为U8520,机身颜色黑色  ,350,CPU型号高通 骁龙Snapdragon MSM7227,后置摄像头1 512MB ,1500mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：320万像素前置摄像头1：30万像素传感器类型CMOS,6.0星
华为,华为C8820,机身颜色黑色  ,停产,CPU型号高通 骁龙Snapdragon MSM7627A,后置摄像头1 512MB ,1350mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：300万像素前置摄像头1：30万像素传感器类型CMOS,8.0星
华为,华为T7050,机身颜色黑色  ,700,空,,空,操作系统安卓,摄像头传感器类型CMOS,4.0星
华为,华为C2930,机身颜色灰色  ,500,空,,空,操作系统安卓,nan,无评价
华为,华为Ascend D7,机身颜色黑色  ,停产,CPU型号海思 Kirin 920,,空,操作系统安卓,摄像头摄像头总数2,7.4星
华为,华为C2827,机身颜色黑色  ,200,空,,1000mAh,操作系统安卓,nan,8.0星
华为,华为C8500SR,机身颜色黑色，白色，香槟金色  ,停产,CPU型号高通 骁龙Snapdragon MSM7625,,高通 骁龙Snapdragon MS 电池容量,操作系统安卓,摄像头摄像头总数1像素300万像素传感器类型CMOS,无评价
华为,华为G7105,机身颜色白色  ,停产,空,,空,操作系统安卓,摄像头摄像头总数1像素130万像素传感器类型CMOS,无评价
华为,华为T7320,机身颜色黑色  ,388,空,,空,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：200万像素前置摄像头1：30万像素传感器类型CMOS,6.2星
华为,华为G606（移动3G）,机身颜色黑色  ,500,CPU型号LC1811,512MB 4GB ,2150mAh,操作系统安卓,摄像头摄像头总数1像素500万像素传感器类型CMOS,4.6星
华为,华为Impulse 4G,机身颜色黑色  ,停产,CPU型号高通,512MB ,空,操作系统安卓,摄像头摄像头总数1像素500万像素传感器类型CMOS,10.0星
华为,华为P660+,机身颜色黑色  ,停产,空,,空,操作系统安卓,摄像头摄像头总数1像素200万像素传感器类型CMOS,8.0星
华为,华为C2829,机身颜色黑色  ,170,空,,1000mAh,操作系统安卓,nan,8.4星
华为,华为U3200,机身颜色金属灰色，草青绿色  ,停产,空,,后置摄像头1,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：320万像素前置摄像头1：30万像素传感器类型CMOS,无评价
华为,华为T550+,机身颜色银色  ,1718,空,,空,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：200万像素前置摄像头1：30万像素传感器类型CMOS,6.0星
华为,华为U8120,机身颜色黑色  ,750,空,256MB 512MB ,1200mAh,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,8.0星
华为,华为C7300,机身颜色银灰色  ,1080,空,,后置摄像头1,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：200万像素前置摄像头1：30万像素,6.0星
华为,华为沃达丰546,机身颜色黑色  ,停产,空,,空,操作系统安卓,nan,无评价
华为,华为C8100,机身颜色咖啡色，紫色  ,900,CPU型号ARM9,,1150mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：200万像素前置摄像头1：30万像素传感器类型CMOS,8.0星
华为,华为沃达丰543,机身颜色黑色，红色，粉色，彩色  ,停产,空,,空,操作系统安卓,nan,无评价
